downloadFormats,downloads,lyrics,mainArtist,music,song,url,videoURI,visits
"HD,MP4",465,Amila Pradeep Kumara,Chathuranga Kasthuriarachchi,Lahiru Chamara Bandara,Gijinda Nadungamu - Chathuranga Kasthuriarachchi,www.fmderana.lk/sinhala-music-videos/1719/gijinda-nadungamu-chathuranga-kasthuriarachchi,https://www.youtube.com/embed/vSAaZDramNs?rel=0,2182
,0,Kelum Srimal,Dimanka Wellalage,Sadeeptha Gunawardana,Raththarane - Dimanka Wellalage,www.fmderana.lk/sinhala-music-videos/1720/raththarane-dimanka-wellalage,https://www.youtube.com/embed/roKav5BO0fs?rel=0,29034
"HD,MP4",1928,Kalana Weerasinghe,"Sachith Peiris, Chithru Patalee & Prasath Murugaiya",Sachith Peiris,"Dinamu Sri Lanka - Sachith Peiris, Chithru Patalee & Prasath Murugaiya",www.fmderana.lk/sinhala-music-videos/1721/dinamu-sri-lanka-sachith-peiris-chithru-patalee-amp-prasath-murugaiya,https://www.youtube.com/embed/m0KHrWnKzKE?rel=0,5256
"HD,MP4",371,Shehan Galahitiyawa,Nalin Thamel,Aruna Thamel,Kaffringha - Nalin Thamel,www.fmderana.lk/sinhala-music-videos/1723/kaffringha-nalin-thamel,https://www.youtube.com/embed/RP3ZjJGTHQE?rel=0,1553
"HD,MP4",392,Lasantha Boyagama,Dulip Jayakody,Karunarathna Wijewardane,Ranwata Atharin - Dulip Jayakody,www.fmderana.lk/sinhala-music-videos/1724/ranwata-atharin-dulip-jayakody,https://www.youtube.com/embed/CBr14jUa2LA?rel=0,1709
"HD,MP4",1856,Eranjan & Viranjan,Eranjan & Viranjan,Eranjan & Viranjan,Boruwata Seemawak Na - Eranjan & Viranjan,www.fmderana.lk/sinhala-music-videos/1722/boruwata-seemawak-na-eranjan-amp-viranjan,https://www.youtube.com/embed/bYC1aiOEubM?rel=0,6881
,,,Lelum Ratnayake,,Yaara - Lelum Ratnayake,,,
"HD,MP4",43499,Saman Edirimuni,Keshan Shashindra & Kalpana Kavindi,Nimesh Kulasinghe,Hamadama Oya Daasa (Deweni Inima Song) - Keshan Shashindra & Kalpana Kavindi,www.fmderana.lk/sinhala-music-videos/1726/hamadama-oya-daasa-deweni-inima-song-keshan-shashindra-amp-kalpana-kavindi,https://www.youtube.com/embed/EF6v_gQQTnk?rel=0,150334
"HD,MP4",972,Pradeep Kumara Dissanayake,Aruna Gunawardana,Aruna Gunawardana,Mata Mawath - Aruna Gunawardana,www.fmderana.lk/sinhala-music-videos/1727/mata-mawath-aruna-gunawardana,https://www.youtube.com/embed/7Dup2-yKud4?rel=0,3334
"HD,MP4",925,Denuwan Munasinghe,Rameesha,Rameesha,Wairaya - Rameesha,www.fmderana.lk/sinhala-music-videos/1728/wairaya-rameesha,https://www.youtube.com/embed/nQOjslJLLLA?rel=0,3135
"HD,MP4",1508,Thejana Rathnayake,Thejana Rathanayake ft Madushani Herath,Rashmika Ukwatta,Tharu Pare - Thejana Rathanayake ft Madushani Herath,www.fmderana.lk/sinhala-music-videos/1729/tharu-pare-thejana-rathanayake-ft-madushani-herath,https://www.youtube.com/embed/h21o4dH2rTA?rel=0,4967
"HD,MP4",1224,Saman Kularathna,Keerthi Pasqual,Sandaruwan Jayasinghe,Sitha Kohedo Gihin - Keerthi Pasqual,www.fmderana.lk/sinhala-music-videos/1730/sitha-kohedo-gihin-keerthi-pasqual,https://www.youtube.com/embed/clzGS4B-yyU?rel=0,4290
"HD,WMV",7223,Sajith Dilpahan,Viraj Bathiya & Poorna Sachinthana,Nimesh Kulasinghe,Ravana Teledrama Song - Viraj Bathiya & Poorna Sachinthana,www.fmderana.lk/sinhala-music-videos/1731/ravana-teledrama-song-viraj-bathiya-amp-poorna-sachinthana,https://www.youtube.com/embed/wfFzZ-oCtvM?rel=0,31778
MP4,475,Rmc Rathnayaka,Kavindu Kariyawasam,Sanjula Kushan,Che Guevara - Kavindu Kariyawasam,www.fmderana.lk/sinhala-music-videos/1732/che-guevara-kavindu-kariyawasam,https://www.youtube.com/embed/JvQbAyHxn8I?rel=0,2654
MP4,555,Shehan Galahitiyawa,Sajini Fernando,Priyantha Nawalage,Lassana jeewithe - Sajini Fernando,www.fmderana.lk/sinhala-music-videos/1733/lassana-jeewithe-sajini-fernando,https://www.youtube.com/embed/I-BcJPmiy6M?rel=0,2108
,0,Manukala,Manukala,Chinthy,Nil Denuwan - Manukala,www.fmderana.lk/sinhala-music-videos/1770/nil-denuwan-manukala,https://www.youtube.com/embed/EJzfNzJGQn8?rel=0,3126
"HD,MP4",501,Kanishka Kavirathna,Kanishka Kavirathna,Kanishka Kavirathna,Abhinikmana - Kanishka Kavirathna,www.fmderana.lk/sinhala-music-videos/1771/abhinikmana-kanishka-kavirathna,https://www.youtube.com/embed/FiGnl2RiS9E?rel=0,2764
"HD,MP4",509,Chamika Kumara,Visharad Deepika Priyadarshani & Sachith Mahanama,Suresh Maliyadde,Mathakaya Pura - Visharad Deepika Priyadarshani & Sachith Mahanama,www.fmderana.lk/sinhala-music-videos/1772/mathakaya-pura-visharad-deepika-priyadarshani-amp-sachith-mahanama,https://www.youtube.com/embed/__1yLU16i5w?rel=0,3523
"HD,MP4",4629,Upul Shantha Sannasgala,Lavan Abhishek,Radeesh Vandabona,Udawadiya Male (Ira Pupuranawalu) - Lavan Abhishek,www.fmderana.lk/sinhala-music-videos/1777/udawadiya-male-ira-pupuranawalu-lavan-abhishek,https://www.youtube.com/embed/2SQEK2MaWEc?rel=0,18051
,0,Sahan Dahanayake,"Ishara Kalpani , Sasitha Shalinda , Ashan Neranga And Sandaru Paranahewa",Visharadha Sasitha Shalinda,"Saubagyaye Sangramaya - Ishara Kalpani , Sasitha Shalinda , Ashan Neranga And Sandaru Paranahewa",www.fmderana.lk/sinhala-music-videos/1778/saubagyaye-sangramaya-ishara-kalpani-sasitha-shalinda-ashan-neranga-and-sandaru-paranahewa,https://www.youtube.com/embed/x30ajLcZXD0?rel=0,3074
