artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
,,,,,,,,
Sunil Edirisinghe,"Classics,Movie Songs", A minor ,",|Am | G |Am | - |,Am                     E    
සඳකඩ පහනක කැටයම් ඔපලා 
Am     F     C      Am
පාවෙන දේදුනු ලැගුම් ගනී
Am               C      G   Am 
කැලැතුණු රසයක පැන ආ බුබුලක් 
G7      Am
අකුරු වැලක් දෙහදක ලියැවී
Am                       E      
යුගයෙන් යුගයට නොමියෙන දහනක 
Am     F      C     Am
දිවියක පදනම මතු වෙද්දී
Am         E     Am
නොපෙනෙන ඈතක ඈ ගෙන යනවා 
Am      C   D    Dm      Am  
සියුමැලි කැකුළක් මැල වෙද්දී 
Am      C   E7  Am
සියුමැලි කැකුළක් මැල වෙද්දී,|Am/G|Am|G/F|Am |
|Am | C |Am | - |
|Am | F | C |Am |
| F | C |Am | - |,Am      C    Am  G7      Am
දහසක් පෙති මත රහසක් කොඳුරා
Em               G      Am 
තුඩින් තුඩට ගෙන යන බිංදූ
Am     G       C           G
ගව්වක් ඉහලට ගොනු කොට රඳවා
C        G7        Dm      Am 
පොපියන දෙතොලක් එහි කැන්දූ
E7      Am    G       Dm
අහසක් ගුගුරා කළුවක් වපුරා
Am    Dm   Am   G7    Am
ඒ හා මුහු වුණු වැහි බිංදූ
Am       E    Am
ඈ ගෙන යද්දී නටඹුන් අතරෙක
Am   E    C  G7   Dm     Am  
තවෙකෙක් ඈ වෙත හද රැන්දූ 
Am        C   E7  Am
තවෙකෙක් ඈ වෙත හද රැන්දූ,,|Am | + |  E | + |
|Am | E | Am |Dm |
|Am | G |Am/G|Am |
| D | - |G7  |Am |,Am      C   Am   G7      Am
හද විල ඉපැදුණු කැකුළක් නොකලට
Em            G      Am 
නටුවෙන් ගලවා දුරක යවා
Am      G         C        G
මිහිලිය තෙත් කොට ගිලිහුණු කඳුළක්
C      G7     Dm      Am 
සත් සමුදුරකට මුහුව ගියා
E7     Am     G       Dm
ඔබට උරුම වූ රිදුණු තැවුණු හද
Am       Dm  Am  G7    Am
එක් ටැම් මැදුරක කවුළු අරා
Am      E      Am
රුවන් විමානෙන් පියඹා එනතුරු
Am  E    C  G7  Dm    Am  
පොපියන හදවත සිටී බලා
Am        C   E7  Am
පොපියන හදවත සිටී බලා,,,|Am | G |Am | - |,|Am | - | - | E |
|Am | F | C |Am |
|Am | - | C |G/Am|
|G7 |Am | - | - |
|Am | - | - | E |
|Am | F | C |Am |
|Am | E |Am | - |
|Am |C/D|Dm |Am |
|Am |C/E7|Am |- |,|Am/G|Am|G/F|Am |
|Am | C |Am | - |
|Am | F | C |Am |
| F | C |Am | - |,|Am |C/Am|G7 |Am |
|Em |  - | G |Am |
|Am |  G | C | G |
| C | G7 |Dm |Am |
|E7 | Am | G |Dm |
|Am |Dm/Am|G7|Am |
|Am |  E |Am | - |
|Am/E|C/G7|Dm|Am |
| Am |C/E7|Am |- |,|Am | + |  E | + |
|Am | E | Am |Dm |
|Am | G |Am/G|Am |
| D | - |G7  |Am |,",Victor Rathnayaka,Harsha Jayamanne,සඳකඩ පහනක,"1,338",Voli Nanayakkara
H.R.Jothipala,Movie Songs, G minor ,,Sarath Dasanayaka,Harsha Jayamanne,සල් සපු නා,544,Karunarathna Abeysekara
Indrani Perera,Golden Pop, Eb major ,",|Eb |Db | - | - |
|Eb |Db | - |Eb |
|Eb |Db |Eb | - |
|Eb |Db | - | - |
|Eb |Db | - |Eb |,Eb      Ab         Db          Eb    
සාගරය පරදා උතුරා පිදුව පෙර දිනේ
Eb      Ab              Db          Eb    
ආදරය කොහෙදෝ ඔබගේ නපුරු කුමරුනේ
Db     Eb    Db   Eb
ඔබේ කතා මැකී ගියා,|Eb |Db |Eb | - |
|Eb | - |Db | - |
|Eb |Db |Eb |Db |
|Db | - |Eb |Db |
|Db |Eb |,Eb      Cm   Eb       Cm   Eb   Ab    Eb
සිනමාහලේ දී උයනේ මඟේ දී ප්‍රේම නගරයේ
Eb        Cm    Eb        Cm    Eb   Ab    Eb
අපෙ ප්‍රේම පුවතේ දෙදෙනාට මැදි වී ආව නිහඬ වී
    Db      Eb     Db    Eb
අද මා යෙහෙළී ඔබගේ මිහිරී,,Eb        Cm    Eb        Cm   Eb   Ab    Eb
පෙර මාගෙ දෑතේ බැඳි දෑත ඈගේ දෑතෙ පෑහිලා
Eb       Cm    Eb      Cm     Eb   Ab    Eb
මල හා ජලාසේ විලසේ බැඳේවා වේවි වාසනා
    Db      Eb     Db    Eb
දෙදෙනා සැරදේ ජය වේ ජය වේ,,,|Eb |Db | - | - |
|Eb |Db | - |Eb |
|Eb |Db |Eb | - |
|Eb |Db | - | - |
|Eb |Db | - |Eb |,||Eb | - |Ab | - |
 |Db | - |Eb | - ||
||Db | - |Eb | - ||,|Eb |Db |Eb | - |
|Eb | - |Db | - |
|Eb |Db |Eb |Db |
|Db | - |Eb |Db |
|Db |Eb |,||Eb |Cm |Eb |Cm |
 |Eb |Ab |Eb | - ||
||Db | - |Eb | - ||,",Sarath De Alwis,Harsha Jayamanne,සාගරය පරදා,712,Premakeerthi De Alwis
,,,,,,,,
,,,,,,,,
Sunil Edirisinghe,Classics, C minor ,"|Cm—-|Bb—-|Gm——|Cm—-|,|Cm |Fm |Eb |Cm     |
|Cm | - |Gm |Gm/Cm/-|
|Cm/-/Fm|Eb/Bb/Cm|,Cm         Fm    Cm
සදාකාලික නොවූ ලෝකේ
Cm
සදාකාලික ප්‍රේමයක්
Cm          Gm  Bb   Fm
සොයා නෙක ගම් දනව් පීරා
Ab   Eb     Bb  Cm
ගෙවූ කාලය සිහිනයක්,Cm            Eb
මගේ දුක දැක ඔබේ දෙනයන
Bb            Cm
උපන් කඳුළින් සේදිලා..//
Gm             Eb
ඔබේ වත නොව ඔබේ හදවත
Bb          Cm
පුරා සඳ සේ පෑදිලා,,Cm           Eb
එදා ළඟ සිට දුටුව ඔබ නොව
Bb           Cm
මෙදා දුර සිට මා දකින්නේ..//
Gm          Eb
සදාකාලික නොවූ ලෝකේ
Bb             Cm
සදා කෙලෙස ද පෙම් බඳින්නේ,,|Cm—-|Bb—-|Gm——|Cm—-|,|Cm |Fm |Eb |Cm     |
|Cm | - |Gm |Gm/Cm/-|
|Cm/-/Fm|Eb/Bb/Cm|,|  Cm   |Fm/Cm/-| 
|  Cm   |   -   |
|Cm/-/Gm|Bb/Fm/-|
|  Fm   |Ab/Eb/-|
|Bb/Cm/-|,||Cm |Eb |Bb |Cm ||
 |Gm |Eb |Bb |Cm |,",Rohana Weerasingha,Harsha Jayamanne,සදාකාලික නොවූ,768,Ananda Amarasiri
,,,,,,,,
Gunadasa Kapuge,"Classics,Old Pops", Eb minor ,,Gunadasa Kapuge,Harsha Jayamanne,සබඳ අපි කඳු,"1,317",Dharshana Mendis
T.M.Jayarathna,Old Pops,,,Clarence Wijewardena,Harsha Jayamanne,රුවට රුවේ,"1,150",Upali Dhanawalawithana
H.R.Jothipala,"Classics,Movie Songs", G minor ,,Sarath De Alwis,Harsha Jayamanne,රුවන් වලා විමානේ,"1,688",Ajantha Ranasinghe
Annesley Malawana,"Golden Pop,Group Songs", G major ,",| G | - | - | D |
| D | - |D7 | G |
| G | - | - | D |
| D | - |D7 |G/D|  
|G/D| G | - |,G			D
ශ්‍රී ලංකාවේ එළිය මිණිපුරයි 
				 G
ලොවම සිසාරා පැතිරෙන්නෙ එහි නමයි
   G				      D
රූ ළඳුන් සොයාලා ඔබ එන්නෙ මෙහි තමයි
	    D7		  G
ශ්‍රී ලංකාවේ එළිය මිණිපුරයි,| G | - | D | - |
| D | - |G/D|C/D|
| G | - |,G			 D
රුවන් පුරේ කළු ගං රැජිනී 
			G
බඳ ලෙලවා රඟට ගලන්නී// 
C	
රුවන් පුරේ සිරියාවයි 
G
සමන් දෙවිඳු කරුණාවයි// 
D	    D7		  G 
රුවන් පුරය අපේ ගම තමයි//,G			 D
සිරි පාදෙට යන එන ගමනේ 
			 G
විඩා නිවා ගෙන සිත තුටුනේ// 
C
සමන් දෙවිඳු බලන රටයි 
G
ලොව සැම තැන පතල නමයි// 
D	    D7		  G 
රුවන් පුරය අපේ ගම තමයි//,,,| G | - | - | D |
| D | - |D7 | G |
| G | - | - | D |
| D | - |D7 |G/D|  
|G/D| G | - |,| G | - | - | D |
| D | - | - | G |
| G | - | - | D |
| D | - |D7 | G |,| G | - | D | - |
| D | - |G/D|C/D|
| G | - |,| G | - | D | - |
| D | - | G | - |
| G | - | D | - |
| D | - | G |G7 |
| C | - | G | - |
| C | - | G | - |
| D | + | G | - |
| D | + | G | - |,",Clarence Wijewardena,Harsha Jayamanne,රුවන් පුරය,"1,394",Clarence Wijewardena
Saman De Silva,Old Pops, D major ,"| D/G | D/A |  D |,| D | - | - |D/Eb|
| E | - | - |  - |
| A | - | G |  - |
|F#m|A7 | D |  - |,D
රුවල් නැවෙන් ගොඩ බැහැලා 
D                                            Em
ගාලු කොටුව මැද ඉඳගෙන හඳපානෙ ගැයුවත් බයිලා
G                           D
අර ලිස්බන් වල මෝය නගරෙ පෘතුගීසි පොලිය අරන්
A           A7          D
අහන්නෙ මේ අපෙ කපිරිඤඤා
D
වයලින් මැන්ඩලින් රැංගො බැන්ජොරබන් අතට අරන් 
D                  Em
වේදිකාව උඩට ඇවිල්ලා
G                     D
එළිසම අක්ෂර යොදාලා රහට තාලෙට බෙදාලා 
A           A7          D
කියල බලමු තරඟෙට බයිලා,,D                       Bm
සෙනසුරාගෙ කරට නැගල සිකුරු තරුව තරණ කරල
D                         A
බ්‍රහස්පතිය දෙවෙනි කෙරුව මං
A
රාවණාව මෙල්ල කරපු හනුමන්තගෙ බණ අසාල
A           A7          D
මූදු හතෙන් එතෙර වුණා මං 
D                       Bm
සක්වල ගල මුදුනෙ ඉඳල පිදුරුතලාගලට නැගල
D                    A
සීගිරි ගල අතට ගත්තනං
A
ගුරි සරසවි වරම් ලබල විදුරණ පද ගැනල ගොතල
A           A7       D
බයිල කියල පරදිනවද මං,,D                       Bm
පොළව යටින් උමං කපල නාග දරණ හඳට විදල
D                         A
ඉරයි දෙකයි දෙක හැංගුව නං 
A
සක්‍රභවන තුලට නැගල තරු ඔක්කොම බිමට දාල
A         A7          D
අහස පුරා කුරුටු ගෑව මං  
D                       Bm
කැපිලි කෙටිලි අහක දාල දිණුං කණුව මත ඉඳගෙන
D                         A
තනි කකුලෙන් පිණුං ගැහුවනං 
A
ගුරි සරසවි වරම් ලබල විදුරණ පද ගැනල ගොතල
A          A7        D
බයිල කියල පරදිනවද මං,,| D/G | D/A |  D |,| D | - | - |D/Eb|
| E | - | - |  - |
| A | - | G |  - |
|F#m|A7 | D |  - |,| D | - | - | - |
| D | - |Em | - |
| G | - | D | - |
| A |A7 | D | - |
| D | - |Bm | - |
| D | - |Em | - |
| G | - | D | - |
| A |A7 | D | - |,|| D | - |Bm | - |
 | D | - | A | - |
 | A | - | - | - |
 | A |A7 | D | - ||,",Unknown,Harsha Jayamanne,රුවල් නැවෙන්,"1,309",Unknown
Nanda Malani,Classics, G minor ,,Rohana Weerasingha,Harsha Jayamanne,රුවල් ඉරී ගිය,582,Sunil Ariyarathna
Gunadasa Kapuge,"Classics,Old Pops", G minor ,,Gunadasa Kapuge,Harsha Jayamanne,රුවක් ඇදෙනවා,"3,426",Mahinda Dissanayaka
Victor Rathnayaka,New Pop, E minor ,"|Em | - | - | - | 
|Em | - | - | - |
|Bm |Em |Bm |Em |
|Em | + |Em | + |,D          Em
රෑකඩ මඩු යාග පොලේ 
D
කොල නුඹේ රැවට ලොලේ
G        D
ආල පිරැ මා ගැන දැන් නැද්ද නිනව්වක්
D        Em           D         Em
ආල පිරැ මා ගැන දැන් නැද්ද නිනව්වක්,|Em | - | - | - | 
|Em | - |Am | - |
| D | - |Em | - |
|Em | + |Em | + |,E                    A          E
ඈත ලන්ද දිය මංකඩ බෝම පිපී තිබුණු මලට
E        E7           A        E
ආලවන්ත බහක්‌ දෙන්න ආ බඹරින්දු
E         E7 A      E7
මලට ලොලේ පිණි කදුලේ 
D         G         D
නිතර රැදි උන් බඹරින්දු
Em       D                     Em
ආල පිරූ මා ගැන දැන් නැද්ද නිනව්වක්‌,E                    A          E
යාය පුරා මල් උතුරා කොල දැරවි කුමරි වෙලා
E          E7         A        E
මාල හතක වරම ගන්න දෑත වනන්නා
E       E7 A      E7
නිබද මගේ පිරුණු සෙනෙ 
D          G         D
නුඹ නොදනි මල්මද ලන්දු
Em       D                     Em
ආල පිරූ මා ගැන දැන් නැද්ද නිනව්වක්‌,|Em | - | - | - | 
|Em | - | - | - |
|Bm |Em |Bm |Em |
|Em | + |Em | + |,| D |Em | D | - | 
| G | D | - | + |
| D |Em | D |Em |,|Em | - | - | - | 
|Em | - |Am | - |
| D | - |Em | - |
|Em | + |Em | + |,| E | - | A | E | 
| E |E7 | A | E |
| E |E7 | A |E7 |
| D | G | D | + |
|Em | D | D |Em |",Victor Rathnayaka,Harsha Jayamanne,රෑකඩ මඩු යාග,"5,247",Wasantha Kumara Kobawaka
Nanda Malani,Classics, A minor ,,Carlo Wijesiri,Harsha Jayamanne,රුක් අත්තන මල,"3,681",Mahinda Algama
Sunil Edirisinghe,New Pop, C minor ,",|Cm  | - |Ab |Cm |
|Cm  | - |Ab |Cm |
|Cm  | - |Ab | - |
|Cm  | - | - | - |
|Ab  | - | G | - |
|Abo7| - |Cm | - |,Cm    G   Cm     Cm    G   Cm
රුදුරු තුරු වදුලේ තියුණු කටු අතරේ
Eb    Gm     Cm
දිලෙන සියුමැලියේ
Cm         Eb    G
ඔබයි ජීවන සුවඳ දෙන්නේ
Cm    G   Cm     Cm    G    Cm
රෝස කුසුම මගේ රෝස කුසුම මගේ,Cm     G              Eb
 මහදේ රන් සුඹුකේ ඔබ තබනා
G         Eb            Cm
 නිරන්තරේ රැක ගනිමි පුබුදුවලා
Cm           Eb   G
සුවඳ විදිමින් ඉදිමි සැමදා
Cm    G   Cm     Cm  G      Cm
දෑස වැසෙන තුරා දෑස වැසෙන තුරා,,Cm         Cm|B+|Eb|B+|
මිහිරී රූ සිරි 
Cm
මිහිරී ජනනියේ
Cm                  Eb
සිත සැනසේ ඔබ දසුනේ
   Fo7      Cm
මුදුමතී මුදුමතී
Cm          G   Cm
සිත සැනසේ ඔබ දසුනින්,,,|Cm  | - |Ab |Cm |
|Cm  | - |Ab |Cm |
|Cm  | - |Ab | - |
|Cm  | - | - | - |
|Ab  | - | G | - |
|Abo7| - |Cm | - |,||Cm | G |Cm | - ||
 |Eb |Gm |Cm | - |
 |Cm | - |Eb | G |
||Cm | G |Cm | - ||,|Cm | - |
 |Cm | G | - |Eb |
 |Eb | G | - | - |
 |Eb | - |Cm | - |
 |Cm | - |Eb | G |
||Cm | G |Cm | - ||,,|Cm | - |
|Cm |B+ |Eb |B+ |
|Cm | - | - | - |
|Cm | - |Eb | - |
|Fo7| - |Cm | - |
|Cm | G |Cm | - |,",Rohana Weerasingha,Harsha Jayamanne,රුදුරු තුරු වදුලේ,"2,431",Carlo Fonseka
Rookantha Gunathilaka,New Pop, Eb major ,",|Eb | + |Eb | + |
|Eb | - |Bb |Eb |
|Ab |Gm |Fm |Eb |
|Ab |Gm |Fm |Eb |,Eb                     Bb
උලත් එකයි පිලත් එකයි මලත් එකයි නැතත් එකයි 
Ab         Bb      Ab   Eb
අපි හැමදා සොමියේ ඉන්නවා 
Ab          Gm          Bb     Eb   Bb7       Eb
දෙයියෝ දනී අපි නොදනී  මැරෙන දවස කවුරු කියනවා 
|Bb|Ab|Eb|-|
Eb                       Gm
ඇතත් එකයි නැතත් එකයි ලඟත් එකයි දුරත් එකයි
 Cm         Bb  Ab   Eb
මඩ කාලයි මෙතන්ට ආවේ
 Ab          Gm          Fm     Eb   Bb7       Eb 
නගේ මලේ ඇලේ දොලේ අපෙ කටහඬ තාම ඇහෙනවා 
Eb                         Fm 
කිව්වට කිව්වට ගී වැල් ගොතලා 
Bb                       Eb
කියනවා කියනවා සී පද හදලා
 Ab                 Gm          Eb
ආදරේට ඕනි දෙයක් කරන්න හැකිලු 
Fm           Bb       Eb
සල්ලි නැතත් රජ වෙනවාලු,Cm                                          Bb
පවුරු බැඳලා අකුල් හෙලලා ආදරයක් එපා කපන්න 
Fm                    Bb                   Eb
අඩිය අඩිය තියල නගින මිනිහා දිහා එපා රවන්න 
Eb                     Bb           Gm     
අපිත් එක්ක ඔබ ආවොත් හිනා වෙනවා හැමදාමත් 
Fm          Bb         Eb
මේ කියන්නේ ඇත්තයි මල්ලි,,Cm                                        
අනාගතය කොහොම වෙයිද 
                          Bb
හිතලා හිතලා ඇයිද තැවෙන්නේ 
Fm                    Bb                   Eb 
පර්ස් එකේ කෑෂ් නැතේ කියා ඇයිද හිතින් අඬන්නේ 
Eb                     Bb           Gm     
අපිත් එක්ක ඔබ ආවොත් හිනා වෙනවා හැමදාමත්
 Fm          Bb         Eb
මේ කියන්නේ ඇත්තයි මල්ලි,,,|Eb | + |Eb | + |
|Eb | - |Bb |Eb |
|Ab |Gm |Fm |Eb |
|Ab |Gm |Fm |Eb |,|Eb | - |Bb | - |
|Ab |Bb/Ab|Eb|- |
|Ab|Gm|Bb/Eb|Bb7|
|,|
|Eb | - |Gm | - |
|Cm |Bb/Ab|Eb|- |
|Ab|Gm|Fm/Eb|Bb7|
|Eb | - | - | - |
|Fm | - |Bb | - |
|Eb | - |Ab | - |
|Gm |Eb |Fm |Bb |
|Eb | - |,|Cm | - | - | - |
|,|
|Fm | - |Bb | - |
|,|
|Eb | - |Bb |Gm |
|Fm |Bb |Eb | - |
|Eb | - |Bb |Gm |
|Fm |Bb |Eb | - |,",Rookantha Gunathilaka,Harsha Jayamanne,උලත් එකයි,"1,775",Rookantha Gunathilaka
Karunaratna Divulgane,New Pop, C Major ,",|C/Ab+|Am|Em/Dm|F |
|G/Am |G7/C| F |C |
| C | G | F/C|D/G7|
|C/G7|C |,C                                       F
රෝස තොල් සිඹිමි තොල් මත කඳුලු බිඳු රැඳෙයි 
     G /F    C  /  F     C  / G7    C       
ඔබ ආදරේ කියාදුන්නෙත් ඒ වගේ තමයි
  C  / Ab+  Am           Em        F
මේ රැයයි සඳයි හරියට ඒ ඔබයි මමයි
 D7         G             G7           C
හීනයක් වගෙයි මගෙ සිත පාරවයි රිදෙයි,C                   G  /  Am   G
පිච්ච මල් පිපී යහනේ සුවඳ මා දවයි 
G          C 
එක්ව කී කතා දෙසවන දෝංකාර දෙයි
      C                       G  /  Am   G
ඔබ උන්නු තැන හදේ තාමත් හරිම උණුසුමයි
    D7          G              G7        C
ඉවසන්න බැරි තවම ඔබගේ වෙන්ව යාමමයි,,C                     G  /  Am   G
අඳුර ඉකි ගසයි සුසුමින් තරු නිවා දමයි
G          C
සොඳුර නුඹ ලඟින් නැතුවත් හිතට උණුසුමයි
C                      G  /  Am   G
කඳුලු බිඳු නැගී ඉඳහිට නෙතට අතවනයි
D7         G            G7           C
සිනාසෙමි නමුත් මේ උණු කඳුලු මගෙ නොවෙයි,,,|C/Ab+|Am|Em/Dm|F |
|G/Am |G7/C| F |C |
| C | G | F/C|D/G7|
|C/G7|C |,| C | - | - | F |
|G/F|C/F|C/G7|C |
|C/Ab+|Am|Em |F |
|D7 | G |G7 | C |,| C | - |G/Am|G |
| G | C |  - |- |
| C | - |G/Am|G |
|D7 | G |G7 | C |,",Gunadasa Kapuge,Harsha Jayamanne,රෝස තොල් සිඹිමි,"1,258",Yamuna Malani Perera
Annesley Malawana,Golden Pop, E major ,",| E | - | - | - |,E          A       B
රෝස මලේ නටුවෙ කටු
B           B7     E
වන බඹරෝ ඔහොම හිටු
E         E7      A       B
නටුව නොවෙයි මම මල සිඹිමි
B           B7     E
මම ළමයෝ පැණි උරමි //,|| E |B7 | - | E ||
 | E |,A                 E
කළු දෙබරුන් නැත පැණි බොන්නේ
B               E
වන බඹරුයි එහි රස දන්නේ
A               E
මල නොතලා එහි පැණි උරලා
B              B7     E
මල දමලා උන් යති පැනලා,,A                 E
මලේ පැණි නැති පවතින්නේ
B               E
පැණි හිඳිලා මල පර වෙන්නේ
A                E
කළු දෙබරෝ නැතුවද දන්නේ
B               B7      E
වන බඹරෝ නැත එහි යන්නේ,,,| E | - | - | - |,| E | - | A | B |
| B | - |B7 | E |
| E |E7 | A | B |
| B | - |B7 | E |,|| E |B7 | - | E ||
 | E |,| A | - | E | - |
| B | - | E | - |
| A | - | E | - |
| B | + | + | E |,",Clarence Wijewardena,Harsha Jayamanne,රෝස මලේ,"1,629",Clarence Wijewardena
Anil Bharathi,,,,,,රෝසී මගේ රෝසී,,
,,,,,,,,
Sunil Edirisinghe,New Pop, D minor ,",||Dm |Bb |Am |Dm ||
 | F | - | A | - |
 |C7 | C |Dm | - |
 |Dm | - |Gm | - |,Dm             Gm6   F               Dm     
රෝස කුසුමක් පිපී…………නොවිඳි සුවඳක් දැනේ
Dm              Am
නොලද සුවයක් සදා පුබුදුවා
Dm   Am      Dm
සුවහසක් පැතුමන්
Dm    C      Dm
රෝස කුසුමක් පිපී,| F | - | A | - |
|C7 | C |Dm | - |
|Dm | - |Gm | - |,F    C     Dm  
මා අවදිකර යහනින්
Bb    C      G        Dm 
ඔබ එබී හිනැහේ කවුළුවෙන්//
Dm                  C
කියා රහසක් සැළෙන දෙතොලින්
G     F       Dm 
නොනැඟෙනා වදනින්
Am       C     Dm 
නොහැඟෙනා අරුතින්,,F      C       Dm  
ඔබේ සුවඳ ලද මොහොතින්
Bb    C      G        Dm 
මා වෙලා සිටි ඒ ආදරෙන් ...//
Dm                 C
මගේ තනිකම හඬයි ඉකිබිඳ
G    F       Dm 
දෙපාමුල හැපෙමින්
Am   C     Dm 
වසා මුව දෝතින්,,,||Dm |Bb |Am |Dm ||
 | F | - | A | - |
 |C7 | C |Dm | - |
 |Dm | - |Gm | - |,| + | + |Gm6| - |
| F | - |Dm | - |
|Dm | - |Am | - |
|Dm |Am |Dm | - |
|Dm | C |Dm | - |,| F | - | A | - |
|C7 | C |Dm | - |
|Dm | - |Gm | - |,| F | C |Dm | - |
|Bb | C | G | - |
|Dm | - | F | C |
|Dm | - |Bb | C |
| G | - |Dm | - |
|Dm | - | - | C |
| G | F |Dm | - |
|Am | C |Dm | - |,",Sarath De Alwis,Harsha Jayamanne,රෝස කුසුමක් පිපී,779,Kumaradasa Saputhanthri
,,,,,,,,
Chandralekha Perera,New Pop, Eb major ,",|Eb | - |Fm |Eb | 
|Bb |Bb7|Eb | - |
|Eb | - |Ab |Eb | 
|Bb |Bb7|Eb | + |,Eb            Bb      Eb
රෑප සොබාවට හිත වහ වැටුනට 
Eb             Fm       Bb
ආල කතා නොකියන්න හොඳා
Eb             Gm7    Ab
ගාඩි ලඳක් මම අවසර පිංකඳ 
Eb     Cm    Fm       Eb
ඩිංගක් හිත වාවන්න හොඳා,| E |Eb |Fo |Eb |
|Bb | - |Eb | - | 
|Eb | - |Fm | - |
| B |Db7|Eb | - |
|Bb | - |Eb | - |,Eb     Bb           Eb
පාන හිනාවට කීරි ගැහෙන හිත
Fm              Bb      Eb
තහංචි වැට ළඟ වැලපෙන්නේ 
Bbm            B         Eb
හීන කුලේ මම කොහොමද දෙයියෝ 
Bb              Bb7    Eb 
ඔය ලෙංගතු කම ඉවසන්නේ,,||Eb | - |Abm| - |
 |Bbm|Db |Eb | - || 
 |Bb | - |Eb | - |
||Eb | - |Eb | - ||,Eb                           |E/Eb|E/Eb|
කරකවනා තද තැටිය උරුම වුණ 
Eb                     |Abm
ගාඩී රැහේ මායිම පැනලා
Bbm              B      Eb
කවදා කොතැනක පෑහෙයිදෝ අප 
Bb              Bb7    Eb 
තහංචි වැටකොටු බිඳ වැටිලා,,,|Eb | - |Fm |Eb | 
|Bb |Bb7|Eb | - |
|Eb | - |Ab |Eb | 
|Bb |Bb7|Eb | + |,|Eb | - |Bb |Eb | 
|Eb | - |Fm |Bb |
|Eb | - |Gm7|Ab | 
|Eb |Cm |Fm |Eb |,| E |Eb |Fo |Eb |
|Bb | - |Eb | - | 
|Eb | - |Fm | - |
| B |Db7|Eb | - |
|Bb | - |Eb | - |,|Eb |Bb | - |Eb | 
|Fm | - |Bb |Eb |
|Bbm| - | B |Eb | 
|Bb | - |Bb7|Eb |,||Eb | - |Abm| - |
 |Bbm|Db |Eb | - || 
 |Bb | - |Eb | - |
||Eb | - |Eb | - ||,|Eb | - |E/Eb|E/Eb| 
|Eb | - |Abm |  - |
|Bbm| - |  B | Eb | 
|Bb | - | Bb7| Eb |,",Rookantha Gunathilaka,Harsha Jayamanne,රෑප සොබාවට,"1,926",Karunarathan Jayathilaka
,,,,,,,,
Milton Mallawarachchi,Old Pops,,,Patrick Denipitya,Harsha Jayamanne,රැයක් උපද්දා,570,Premakeerthi De Alwis
Clarence Wijewardena,Old Pops, F major ,,Clarence Wijewardena,Harsha Jayamanne,රෑ තාරකාවෝ,"4,234",Clarence Wijewardena
,,,,,,,,
Sujatha Attanayaka,Classics, Ab minor ,",Abm  F#    Abm    F#
රාවණා රජු මා රුව දැකලා
F#    E      E/F#  Abm
ආවට නැ සිත ආලය බැඳිලා
Abm F#      Abm    F#
ජීවිතේ හැම දාකම එනවා
F#    E       E /F#  Abm
රාම කුමරුනේ මේ ඔබෙ සීතා,|Abm| - | B | E |
|C#m| B |F#7|Abm|
|Abm|Ebm| B |F# |
|C#m| - |F# |Abm|,Abm
රාවණ පුරයේ සිවුරඟ සේනා
E          F#             Abm 
යුධ ගිනි අවුලන්නයි කඳවුරැ බැඳලා//
C#m             B
මිය යන තුරු මා ඔබ පා සෙවනේ
E                 F#      Abm
ඔබගෙන් මිදිලා නෑ වෙනතක යන්නේ,,|Abm| - | - |C#m|
|C#m|F# |F# |Abm|
|Abm| + | + | + |,Abm
අබරණ පළඳා රජ සැප පල නෑ
E          F#             Abm 
මේ වන අරණේ හෝ ඔබ ලඟ සැමදා
C#m          B
පතිකුල කුමරී අතහැර නොයමී
E                 F#      Abm
ඔබගේ නාමෙන් මා පතිදම් රකිමී,,,|Abm|F# |Abm |F# |
|F# | E |E/F#|Abm|
|Abm|F# |Abm |F# |
|F# | E |E/F#|Abm|,|Abm| - | B | E |
|C#m| B |F#7|Abm|
|Abm|Ebm| B |F# |
|C#m| - |F# |Abm|,||Abm| - | - | - |
 | E |F# | - |Abm||
 |C#m| - | B | - |
 | E | - |F# |Abm|,|Abm| - | - |C#m|
|C#m|F# |F# |Abm|
|Abm| + | + | + |,",Unknown,Harsha Jayamanne,රාවණා රජු,"1,031",Unknown
W.D.Amaradewa,,,,,,රෑ දුරු රට මේ,,
,,,,,,,,
T.M.Jayarathna,Old Pops,,,Rohana Weerasingha,Harsha Jayamanne,රත්තරන් නෙත්,961,Kularathna Ariyawansa
,,,,,,,,
Nanda Malani,"Duets,Old Pops", D major ,,Rohana Weerasingha,Harsha Jayamanne,රත්තරන් දුවේ,"1,578",Carlo Fonseka
